Bloque	Saberes básicos	Id	Horas
Bloque 1. Proyectos de investigación y desarrollo	Gestión y desarrollo de proyectos. Técnicas y estrategias de trabajo en equipo. Metodologías Agile: tipos, características y aplicaciones	TEI-I.1.1	3
	Difusión y comunicación de documentación técnica. Elaboración, referenciación y presentación.	TEI-I.1.2	3
	Impacto social y ambiental. Informes de evaluación. Valoración crítica de las tecnologías desde el punto de vista de la sostenibilidad ecosocial.	TEI-I.1.3	3
	Autoconfianza e iniciativa. Identificación y gestión de emociones. El error y la reevaluación como parte del proceso de aprendizaje.	TEI-I.1.4	3
	Emprendimiento, resiliencia, perseverancia y creatividad para abordar problemas desde una perspectiva interdisciplinaria.	TEI-I.1.5	3
Bloque 2. Materiales y fabricación	Estructura interna de los materiales y relación con sus propiedades básicas.	TEI-I.2.1	3
	Procedimientos de ensayo de propiedades: resolución de problemas de ensayos de dureza, de tracción y de resiliencia.	TEI-I.2.2	3
	Análisis de técnicas de fabricación industrial para la mejora de las propiedades de los materiales y su sostenibilidad.	TEI-I.2.3	3
Bloque 3. Sistemas mecánicos	Estructuras sencillas. Tipos de cargas, estabilidad y cálculos básicos de cargas, esfuerzos y momentos. Montaje o simulación de ejemplos sencillos.	TEI-I.3.1	3
	Máquinas térmicas: máquina frigorífica, bomba de calor y motores térmicos. Cálculos básicos de rendimiento y eficiencia, simulación y aplicaciones básicas.	TEI-I.3.2	3
	Sistemas neumáticos e hidráulicos: elementos, simbología, circuitos básicos y cálculos de las magnitudes de fuerza, presión y caudal. Montaje y/o simulación para la resolución de problemas.	TEI-I.3.3	3
Bloque 4. Sistemas eléctricos y electrónicos	Circuitos eléctricos de corriente continua.	TEI-I.4.1	4
	Circuitos electrónicos básicos.	TEI-I.4.2	3
	Interpretación y representación esquematizada de circuitos. Cálculo, montaje y experimentación física o simulada. Aplicación a proyectos.	TEI-I.4.3	3
	Máquinas eléctricas de corriente continua: motores y generadores, partes, funcionamiento y conexiones.	TEI-I.4.4	4
			47
			
(DECRETO 157/2022, de 15 de septiembre, por el que se establecen la ordenación y el currículo del bachillerato en la Comunidad Autónoma de Galicia., 2022, p. 523)			
